label,text
neg,@enjoyGLOBE pls confirm the intl data roaming promo enabled or not for one day for 09178734795 Registered through143 and switched to SingTel
pos,New post Global IOT Smoke Detectors Market Revenue Strategy 2019 Credencys Huawei Singtel San Jiang etc  M 
pos,Usually those hazard light should not to go for BBW Kl sentral ke tak berkesempatan pegi Singtel Formula One Haa Baulah hall tu RT Nolah
pos,GlobalData Plc  Singtel Optus Pty Ltd  Strategic SWOT Analysis Review Singtel Optus Pty Ltd  Strategic SWOT Analysis Review provides a comprehensive insight into the companys history corporate strategy business structure and operations The report pictwittercomOfnuDldfID
neg,It is no fun doing trading at night and out of sudden the network down on you
neg,Its faulty and wont pick up a signal I restarted everything 3 times and checked the connection but  called singtel and they said services are running so theyre offering to replace the box
pos,Spot me Haha shoot for singtel pictwittercomA9BkMxvhvH
pos,Hello @StarHub can you please advice what are the european football leagues season 1920 offered in StarHub  Thanks 
neg,Please stop giving generic reply European football leagues seasons are going to commence in 3 weeks yet SingTel Tv is clueless on what to offer for prospective customers 
neg,Hi Team its been 24 hours now I have pretty shared all the details you have asked for DMed with Sarah  Jono and Quade but I am still with no solution Gosh this has to be a joke @Optus  @Singtel @SingtelSupport would you know whats going on 
pos,Hi I understand youve spoken to my colleague over the phone and will be discussing further on the appointment details via email As my colleague will be overseeing your concerns personally we strongly encourage maintaining a single point of contact to avoid any confusion
neg,TPG Telecom showing slower speeds poorer signal than Singtel StarHub and M1 Study
neg,I emphasize I did not make any appt I challenge u to charge me 145pictwittercomQkONwIOWBR
neg,TPG Telecom users experience slower downloads and uploads compared to Singtel StarHub and M1 study claims pictwittercomSepQoSCEiK
neg,@TMobile @digitelco @Singtel @StarHub @ATT @sprint @Vodacom Topup any mobile phones worldwide using @Bitcoin @ethereum and @xceltokenplus 900 telecom operators in 160 countries @CoinDeskMarkets @coindesk @Cointelegraph @newsbtc @CCNMarkets @tokenpost @CNB
pos,Singtel takes store on the road  Mobile World Live 
neg,TPG Telecom users experience slower downloads and uploads compared to Singtel StarHub and M1 study claims 
pos,Thanks for sharing this with us  our sales agents will generally be in touch within 3 working days Able to let us know if youve still yet to receive a callback by Monday evening Well be here to help
pos,This is really funny I hv just received a call at 1245pm from Singtel technician and ask if he can come up to my house now
neg,Chart of the Week Singtel Shares Back in Favour  sg singapore
neg,singtel promo Dont trust these services Topped up 10SGD at vendor but still zero balance on prepaid HiCard Vendor refuses to reimburse and @SingTelSupport and @SingTel has endless loop helpline WasteOfTime Ripoff BadService
pos,Such details are quite urgent to me as Im trying to make alternative arrangements if Singtel TV is not offering the mentioned leagues Thanks 
neg,This is nothing new from SingtelTv I would appreciate if you can connect me to the relevant sources to get some updates sooner pertains to Ligue 1  La Liga
neg,Signed up on 10 July no order id wasgiven to mepictwittercomaPxgjVbqRG
pos,Able to share with us when was your signup done Also is there any Order ID reflected in the email confirmation youve received
neg,There was an automated reply to my email acknowledging my sign up and nothing else I signed up sim only plan  contract one year I didnt get any call also from SingTel Much less about service agreement
neg,Dapet dari tokonya Singtel kak
pos,Hi Able to share with us which plan did you signup for Additionally did you receive any order confirmation or a Service Agreement via email You may also wish to try checking your junkspampromotions folder just in case
pos,Hi Are you currently facing issues with your Fibre Broadband service Do let us know well be here to help
neg,Hi Are you currently still facing issues with your Fibre Broadband service Do let us know well be here to help
pos,Singtel Innov8 InnovfestUnbound FlashbackFriday@NeurobitTech the physiological data analytics platform impressed @singtelinnov8 with their solution As a result theyll be heading to their office to pitch their innovation to the board of investors pictwittercomVG35HyZmLm
neg,TPG Telecom showing slower speeds poorer signal than Singtel StarHub and M1 Study pictwittercomaKAR5b6vfl
neg,@Singtel ihave signed up online mobile plan a few days ago and i still havent got any updates when my new mobile plan take effect You are very inefficient
neg,No surprise They just started Building infrastructure take time TPG Telecom showing slower speeds poorer signal than Singtel StarHub and M1 Study  TODAYonline 
neg,If I burst my data @Singtel better not charge me for it Nobody touched the phone port and they say no broadband connection
neg,Jadi modemnya besok gak bisa kita pakek ya sis Beli kartu di singtel aja apa ya @yuutri @jayparamita
pos,Hi there saw your tweet We are concerned to learn that you are experiencing connectivity issues  Able to share if it still persists And if so are you referring to home broadband or public Singtel WiFi
neg,Please bear for the responsibilities of the outage and not pushing your consumer to pay for your responsibilities @Singtel
neg,We are concerned to learn that you are experiencing connectivity issues  Able to share if it still persists And if so are you referring to home broadband or public Singtel WiFi
pos,Singtel
pos,Download N960FXXU3CSF9 Galaxy Note 9 SMN960F Android pie Stable Update to Singapore singtel  SIN 
neg,IS SINGTEL WIFI DOWN OR SOMETHING CB
pos,@Singtel kindly improve your internet Service 
pos,Theres a certain satisfaction in seeing the startup that youre backing becoming a household name igloohomeco smart locks now available at singtel storesrepost smartcity smartnation smarthome 
